职位名称,职位类别,招聘人数,工作地点,发布时间,详细链接,工作职责,工作要求
15612-手游后台开发（北京）,技术类,3,北京,2017-09-07,http://hr.tencent.com/position_detail.php?id=32221&keywords=&tid=0&lid=0,"1. 负责移动游戏服务器架构设计；
2. 保证游戏服务器的稳定性、安全性及高效性；
3. 负责游戏服务器逻辑系统设计编码以及运营开发工作。
","1. 计算机相关专业本科及以上学历，具有5年以上游戏服务端开发经验，经历过至少一款产品的完整开发周期，独立设计过服务器部分框架并加以实现；
2. 熟悉Linux开发平台，有丰富的Linux下编程、调试经验；
3. 精通C/C++编程语言，具有5年以上C/C++编程经验；
4. 熟悉TCP/IP协议相关知识，精通网络编程；
5. 沟通能力强且有指导别人进行设计和编码的能力；
6. 有良好的团队合作能力，善于沟通，热爱开发事业。
"
15612-手游动作策划（北京）,产品/项目类,2,北京,2017-09-07,http://hr.tencent.com/position_detail.php?id=32324&keywords=&tid=0&lid=0,"1. 游戏内角色和boss技能动作设计，打击感相关设计和调优；
2. 负责角色战斗时的视觉表现把控； 管理动作和模型资源； 
3. 对接程序美术，确保战斗模块的顺利上线。
","1. 有动作游戏或偏动作的RPG游戏设计经验，3年以上手游经验，有成功动作游戏经验者优先； 
2. 有良好的沟通表达能力，抗压能力强，有良好的团队合作推动能力；
3. 熟悉当前主流ARPG类手游，具有优秀的团队沟通和执行能力。
"
HY2-高级数据分析开发工程师（深圳）,技术类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32615&keywords=&tid=0&lid=0,"1. 负责游戏业务的数据分析工作；
2. 负责各游戏业务基础指标建设和开发；
3. 重点游戏的业务内数据分析、主题分析、预测模型建立；
4. 跨业务的用户分析和营销方案模型策划和设计。
","1. 研究生3年，本科5年以上数据处理、分析相关项目经验；
2. 参与过完整的数据采集、数据清洗整理、分析和建模工作者优先；
3. 熟练使用SQL，Hive等技术，了解Hadoop工作原理；
4. 熟悉linux操作系统开发环境，熟悉C++等计算机语言；
5. 数据敏感，有良好的逻辑思维能力，较强的沟通能力和团队合作精神，勇于承担工作压力。
"
22989-视频云技术工程师(北京）,技术类,1,北京,2017-09-07,http://hr.tencent.com/position_detail.php?id=32472&keywords=&tid=0&lid=0,"1. 负责腾讯云相关云产品的售后技术支持，确保客户业务正常运行；
2. 解决排除用户视频云等云产品的问题及故障，制定相关的技术实施方案； 
3. 负责对事件及故障进行分析和总结，出具技术方案，并推动相关团队解决； 
4. 沉淀解决方案形成知识库，编写相关产品问题报告，整理技术文档，提升团队技术能力； 
5. 和研发团队对接，推动视频云平台的架构优化。
","1. 熟悉LINUX操作系统，熟悉TCP/IP协议栈，有LINUX高性能网络服务器的编程经验； 
2. 精通C、C++，熟悉Java、ObjectC，熟悉Android、iOS、Windows、Linux平台音视频方面的特性； 
3. 熟悉MPEG2-TS/FLV/MP4 等视频封装格式, H.264/AAC等编码格式； 
4. 熟悉TCP、UDP等网络通讯协议，熟悉Http-Flv/RTMP/HLS等常用流媒体协议； 
5. 熟悉开源多媒体框架（ffmpeg、webrtc、ijkplayer、vlc等），并能基于框架进行二次开发； 
6. 具有Android/ios移动端视频直播及播放器相关开发经验者优先考虑。
"
22989-视频云技术工程师（深圳）,技术类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32493&keywords=&tid=0&lid=0,"1. 负责腾讯云相关云产品的售后技术支持，确保客户业务正常运行；
2. 解决排除用户视频云等云产品的问题及故障，制定相关的技术实施方案； 
3. 负责对事件及故障进行分析和总结，出具技术方案，并推动相关团队解决； 
4. 沉淀解决方案形成知识库，编写相关产品问题报告，整理技术文档，提升团队技术能力； 
5. 和研发团队对接，推动视频云平台的架构优化。
","1. 以下要求满足2-3条或以上即可： 
2. 熟悉LINUX操作系统，熟悉TCP/IP协议栈，有LINUX高性能网络服务器的编程经验； 
3. 精通C、C++，熟悉Java、ObjectC，熟悉Android、iOS、Windows、Linux平台音视频方面的特性； 
4. 熟悉MPEG2-TS/FLV/MP4 等视频封装格式, H.264/AAC等编码格式；
5. 熟悉TCP、UDP等网络通讯协议，熟悉Http-Flv/RTMP/HLS等常用流媒体协议； 
6. 熟悉开源多媒体框架（ffmpeg、webrtc、ijkplayer、vlc等），并能基于框架进行二次开发； 
7. 具有Android/ios移动端视频直播及播放器相关开发经验者优先考虑。
"
22989-人工智能产品经理（深圳/成都/上海/北京）,产品/项目类,2,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32490&keywords=&tid=0&lid=0,"1. 根据对市场、客户的理解及公司战略，规划和设计产品蓝图与发展路线图；
2. 负责人工智能相关产品的需求分析、需求管理，产品设计和产品迭代；
3. 推进产品迭代，确定各迭代版本需求，撰写需求文档，组织协调各相关团队，跟踪产品研发进度；
4. 打造富有竞争力的产品，参与产品的运营和推广。
","1. 985院校，理工科专业全日制本科及以上学历，计算机相关专业背景； 
2. 3年以上产品设计或开发经验，具备机器学习、数学建模或算法应用的相关专业背景或工作经验优先；
3. 深入了解云计算，并有一定的行业背景，对行业动态变化敏感度高；
4. 执行能力强，具有较好的产品设计能力；
5. 极强的问题分析能力、数据理解能力、逻辑思考能力、沟通能力、学习能力和抗压能力，有团队合作精神。
"
SD10-FPS俄语游戏海外PM(深圳),产品/项目类,1,深圳,2013-11-13,http://hr.tencent.com/position_detail.php?id=9587&keywords=&tid=0&lid=0,"1. 本科以上学历,1年以上网络游戏运营翻译经验及1年以上海外PM经验,或相关专业毕业; 与俄语系开发商沟通经验丰富,了解代理游戏的开发和运营流程,跟进过1款以上网络游戏的公测准备及发布; 有丰富的游戏经历,熟悉射击类游戏中的常用名词、专业术语和规范; 出色的俄语口译和笔译能力,具有较强的文字组织能力和商务谈判能力; 积极主动,团队合作意识强,善于沟通及表达,能承担较强工作压力; 出差至海外地区; 能独立完成其他游戏运营相关策划工作者为佳。有FPS相关工作经验优先。
","1. 网络游戏运营相关的产品、技术、市场类文档和素材的翻译跟进；网络游戏产品的版本汉化跟进；产品运营、商务相关的邮件翻译及与开发商的沟通支持；与开发商的关系维护；收集和整理海外射击类游戏市场信息及产品信息；所有与开发商相关的需求管理及有效推动其他与项目运营相关的射击类游戏产品策划工作以及其他日常工作。
"
TEG17-Principal Researcher（us）,技术类,2,美国,2017-06-10,http://hr.tencent.com/position_detail.php?id=30808&keywords=&tid=0&lid=0,"1. Research, design, implement, evaluate and optimize novel algorithms/models that lead to improved performance in real world scenarios；
2. Work on large-scale datasets and create scalable and accurate systems in versatile languages / application fields；
3. Collaborate closely with team members across USA and China on developing systems from prototyping to production level。
","1. D. degree in computer science, electrical engineering, math, statistics, or related fields；
2. Publications at top-tier peer-reviewed conferences or journals；
3. Interest and experience in speech recognition, speech synthesis, natural language understanding, or dialog system；
4. Strong coding skills in C/C++, Python, and one shell script；
5. Ability to communicate/collaborate with other researchers/engineers；
6. Ability to think out of box；
7. Preferred candidates for this position should also have。
8. Proven track record of innovation in creating novel algorithms and advancing the state of the art；
9. Good understanding of cutting edge deep learning models；
10. Working experience with one of the deep learning platforms: tensorflow/pyTorch/CNTK/mxNet；
11. Working experience on large quantities of data。
"
15569-QQ飞车手游高级UI交互设计师(深圳),设计类,1,深圳,2017-06-15,http://hr.tencent.com/position_detail.php?id=30850&keywords=&tid=0&lid=0,"1. 游戏整体UI框架规范设计；
2. 游戏交互流程与线框图绘制；
3. 策划需求沟通与UI整体开发进度规划；
4. 与客户端、UI合入、动效同学沟通配合，跟进UI在游戏中的最终表现。
","1. 大专以上学历，3年以上相关工作经验；
2. 具备清晰的逻辑思维、较强的表达能力；
3. 必要的平面版式设计能力；
4. 对专业领域具有突破与钻研精神。
"
15851-棋牌产品策划经理（深圳）,产品/项目类,1,深圳,2017-06-15,http://hr.tencent.com/position_detail.php?id=30866&keywords=&tid=0&lid=0,"1. l负责微信棋牌专区的产品策划工作，结合棋牌微信用户特点和平台特征规划专区新特性；
2. 调研用户需求，分析产品目标群体，制定产品目标和规划，传递到研发团队落地执行，完成产品实现及迭代；
3. 能够独立管理和跟进产品研发过程，跟踪产品线上运营情况，协调组织资源达成产品目标。
","1. 本科及以上学历，2年以上产品策划经验；
2. 具备敏锐的用户洞察和出色的执行能力；
3. 学习和协作能力强，工作积极主动，抗压能力强；
4. 有较深厚的产品文档和交互能力，以及产品包装能力，有社区或平台策划经验者优先考虑。
"
OMG097-数据开发工程师（深圳）,技术类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32642&keywords=&tid=0&lid=0,"1. 负责腾讯移动资讯,腾讯视频产品的海量数据分析和挖掘工作；
2. 跟进业务各数据指标的计算和分析；
3. 参与海量数据的存储、查询和运营数据分析体系搭建。
","1. 计算机相关专业，三年及以上工作经验；
2. 熟悉JAVA，C/C++等语言；
3. 熟练掌握SQL/python/Scala；
4. 深入理解MapReduce，要求具有Spark/Hadoop/Storm等大规模分布式计算平台的使用经验；
5. 熟练使用Hive、HDFS、HBase、Kafka等；
6. 有一定的业务数据敏感度，较强的数据分析能力，逻辑思考，问题定位解决能力。
"
22990-渠道销售经理（广州）,市场类,1,广州,2017-09-07,http://hr.tencent.com/position_detail.php?id=32636&keywords=&tid=0&lid=0,"1. 担任腾讯企点及腾讯云渠道经理，负责区域渠道体系建设及产品销售；
2. 定期拜访渠道合作伙伴，充分了解客户需求并积极跟进，制定合理方案，负责方案提示、谈判，追踪公司相关部门的工作，保证方案的有效实施；
3. 维持与现有合作伙伴的良好业务关系，及时更新公司产品信息，传达企业及品牌文化。
","1. 本科及以上学历，计算机、电信、市场营销或其它相关专业；
2. 软件或互联网行业五年以上相关工作经验；
3. 具有丰富的渠道销售、区域管理及长尾中小企业客户覆盖经验；
4. 具有企业级应用软件销售经验，具有云计算及互联网行业渠道销售经验优先；
5. 能够有效通过渠道覆盖中长尾客户，承担区域销售业绩；
6. 能够建立区域渠道体系，有效处理渠道冲突与风险防范；
7. 能够主导制定各种服务与激励方式，持续提高渠道合作伙伴的满意度；
8. 具有出色的协调能力，良好的团队合作精神；为人诚信，工作敬业，有责任心。
"
SNG06-QQ个性化商务拓展（深圳）,市场类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32633&keywords=&tid=0&lid=0,"1. 负责QQ个性化字体、表情、气泡、主题、头像挂件、名片等十余款产品内容商务拓展工作；
2. 负责公司对内不同业务部门及对外IP形象的合作沟通、联合运营活动策划、执行和活动总结；
3. 具备一定的产品运营经验和数据运营基础，负责对内、对外的产品合作数据总结和反馈工作。
","1. 具备本科及以上学历，2年以上相关的工作经验，善于通过英语沟通，日语或韩语流利沟通者最佳；
2. 具备热爱互联网行业视野与时尚，具备一定的审美标准；
3. 善于沟通和团队协作、亲和力强，具备谈判技巧能力；
4. 对互联网产品运营嗅觉敏锐，关注细节、学习能力强；
5. 执行力高，协调性强，富有激情，能根据数据分析指导实践。
"
OMG097-数据分析工程师(深圳),技术类,2,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32641&keywords=&tid=0&lid=0,"1. 负责腾讯视频、腾讯新闻、天天快报等产品的日常数据分析工作；
2. 负责相关业务的数据梳理以及流程优化；
3. 配合项目团队完善数据指标体系建设，跟踪产品新功能发布以及关键数据上报，为产品迭代提供数据化分析的方法论以及数据支撑。
","1. 热爱互联网，熟悉各种互联网产品，勤奋好学；
2. 计算机、通信、数学相关专业毕业，大学本科以上学历，计算机基础扎实，2年以上工作经验；
3. 精通C++/Java/PHP等高级语言编程，具备扎实的开发功底；
4. 熟悉Hive、MapReduce、Storm、Spark等Hadoop生态系统，具有实际使用经验，具备一定Sql调优能力；
5. 熟悉mysql、oracle等关系型数据库，具有实际开发经验；
6. 具有强烈的责任心以及团队合作精神，具有较强沟通能力。
"
HY1-游戏专项测试工程师（深圳）,技术类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=29121&keywords=&tid=0&lid=0,"1. 负责网络游戏的专项内容的测试、分析及调优，如客户端性能、服务端性能、协议和客户端安全等；
2. 负责或参与专项技术突破。
","1. 有2年以上软件行业或者互联网行业经验；
2. 至少熟悉以下一种语言：C/C++、Java；
3. 熟练使用LINUX、熟悉TCP/IP、HTTP等网络编程协议；
4. 至少熟悉一门脚本开发语言（如shell、perl、python），有实际实践经验积累者尤佳；
5. 有白盒、服务器性能、前台性能、协议、安全等专项的部分测试实际经验；
6. 熟悉网络游戏，有开发或测试开发经验者优先。
"
HY1-WeTest平台技术产品经理,产品/项目类,1,上海,2017-09-07,http://hr.tencent.com/position_detail.php?id=29113&keywords=&tid=0&lid=0,"1. 参与云测相关产品的设计工作 ，确定产品功能、适配企业服务流程，用户体验以及后台管理方案，绘制产品原型图，编写相关需求文档 ；
2. 协调和沟通，推动开发、测试等人员紧密合作，高效高质的项目执行，达成产品目标； 
3. 收集产品需求，对用户需求、市场需求和业务需求进行调研分析，不断优化产品，提升产品质量；
4. 时刻关注产品相关信息，观察产品的发展，输出竞品分析报告 ；
5. 支持配合运营，市场和商务活动，输出产品资料并负责相应培训 ；
6. 利用产品数据分析产品问题，需求问题，提出产品优化方案。
","1. 对产品经理职位有浓厚的兴趣和意愿； 希望为产品研发及产品设计和运营团队提供更好的工具和平台，乐于其中并成为设计者。
2. 具有较强的沟通能力和问题解决能力，较强的逻辑思维能力 ； 
3. 熟悉互联网项目研发流程，熟悉敏捷开发，熟悉持续集成，了解DevOps，有相关项目经验尤佳； 
4. 熟悉一个或多个主流的移动端自动化测试框架（如GAutomator，Robotium，Appium，XCTest，Sikuli ），了解其工作原理； 
5. 了解性能测试原理并在项目中有具体实践。
"
SNG16-QQ音乐合作产品运营经理（深圳）,产品/项目类,1,深圳,2017-06-17,http://hr.tencent.com/position_detail.php?id=30928&keywords=&tid=0&lid=0,"1. 主要负责对外合作产品相关工作落地，有较好的商业合作和产品化思维；
2. 负责音乐产品的版本特性运营、活动运营、合作运营等目标的制定及执行，并且有良好的数据分析能力；
3. 负责制定阶段性用户运营策略以及落地执行方案，保证平台持续健康发展。
","1. 本科以上学历，3-5年移动互联网合作产品相关经验，有一定的产品策划能力；
2. 对互联网行业和音乐行业有足够热爱和理解；
3. 有较为丰富的商业化合作经历，以及合作关系积累；
4. 了解，熟悉并善于挖掘创造，互联网各种实时热点，跟进竞品的变化；
5. 执行力强，思维活跃，具有良好的沟通协调能力，对数据敏感。
"
19116-合作伙伴解决方案经理（北京）,技术类,1,北京,2017-06-16,http://hr.tencent.com/position_detail.php?id=30915&keywords=&tid=0&lid=0,"1. 为实现公司互联网+战略，腾讯对外开放云、LBS、互联网安全和移动支付等能力，支持政府和企业实现互联网化。候选人将负责腾讯大数据分析平台解决方案的生态发展，确保所负责领域的客户在实现互联网化的过程中，更多地选择腾讯平台。具体工作包括：
2. 1. 负责制定大数据分析平台产品在政企市场的发展规划和生态运营战略，为产品团队提供行业发展分析报告，配合产品团队丰富和完善腾讯政企大数据平台行业解决方案和产品，提升大数据产品对外的被集成能力；
3. 2. 发展政企大数据分析平台合作伙伴生态，与合作伙伴建立从代理、项目合作到战略合作等不同层面的合作关系，支撑合作伙伴集成腾讯大数据套件、AI、机器学习等政企大数据分析平台能力，支撑片区BD团队落地更多大数据类项目；
4. 3. 负责政企大数据项目的售前工作，负责解决方案销售工具的开发和完善，负责发展合作伙伴技术社区和行业专家社区，培养合作伙伴技术专家，为BD团队提供更好售前支持；
5. 在部门的整体规划下，与产品、行业BD和片区BD一起协作，赢取标杆项目，向公司和合作伙伴推荐优秀的政企大数据项目案例，协助市场部门编制case study。
","1. 1. 本科以上学历，5年以上工作经验，能适应频繁国内出差；
2. 2. 具备优秀的文档能力，能清晰明了地表达架构意图，能够熟练编写各类售前技术文档，有实际产品化或大数据行业解决方案开发经验者优先；
3. 3. 熟悉主流大数据平台，了解前沿技术和潮流方向；具有3年以上大数据系统客户需求研究、软件架构设计、项目集成部署等实际项目经验；熟悉报表平台和数据仓库建模和设计；熟悉Hadoop/Hbase/HIVE等数据平台，熟悉大规模数据并行计算/传输/处理系统架构，具有机器学习、AI等领域的基本概念；
4. 4. 有大型市场活动，有实际的渠道或合作伙伴管理经验者优先。
"
22989-腾讯云政务民生产品组leader（深圳）,产品/项目类,1,深圳,2017-07-01,http://hr.tencent.com/position_detail.php?id=31216&keywords=&tid=0&lid=0,"1. 1、负责腾讯云政务民生行业解决方案及产品体系的策划及产品交付的推动工作；
2. 2、分析同行业竞品解决方案及产品，推动产品及解决方案的持续更新和优化；
3. 3、调研行业需求，分析目标行业的客户痛点，并分析、归纳，给出明确的产品优化建议；
4. 4、跟踪既有行业产品及解决方案的落地情况，提交产品或解决方案在实际案例中的使用状况分析报告；
5. 5、挖掘、培养行业合作伙伴，整合合作伙伴能力，优化产品结构；
6. 6、跟踪既有产品或解决方案的实际运营、收入情况；
7. 7、制定产品的基本文案材料、SLA、服务目标及收益规划；
8. 8、负责产品团队的日常管理、绩效考核及团队建设。
","1. 1.本科以上学历，5年以上的IT系统架构设计、运营或运维经验，至少3年以上云计算、数据相关的产品规划、设计工作经验; 
2. 2.熟悉openstack等虚拟化架构及主流公有云服务，并能够清晰描述其工作原理和基础的架构逻辑，对AWS、腾讯云、阿里云等不同品牌的云服务区别，有一定认知；
3. 3.具有丰富的企业级应用产品架构设计或云服务集成实施经验优先；
4. 4.有一定IT Infrastructure（包含服务器、存储、数据库、网络、中间件）的基础知识；
5. 5.具备优秀的文档能力，清晰明了地表达架构意图，能够熟练编写各类技术文档；
6. 6.良好的沟通、协调及资源整合能力;
7. 7.有政府民生行业服务产品规划、设计经验者优先。
8. 8.具备优秀的表达能力，思路清晰、逻辑缜密、对新鲜事物有较高的敏感度和好奇心；
9. 9.分析能力突出，执行力、自我驱动力强；
10. 10.有产品团队管理经验者优先。
11. 其他要求：
12. 1.良好的任务跟踪记录能力，及时响应客户按时按量的提供高质量的服务。
13. 2.有强烈的时间观念和责任感，并有能力同时处理多个项目工作；
14. 3.较强的沟通技巧和能力， 并有积极的工作态度和强烈的品质意识；
15. 4.有电子政务或者传统企业相关工作经验者优先。
"
HY2-后台开发工程师（深圳）,技术类,2,深圳,2017-07-06,http://hr.tencent.com/position_detail.php?id=31303&keywords=&tid=0&lid=0,"1. 负责腾讯游戏大数据平台的后台开发工作，高并发场景下的数据服务工作。
","1. 计算机相关专业，3年及以上相关工作经验,有扎实的计算机理论基础；
2. Linux环境服务器开发的经验，精通Socket网络编程、服务器开发工作；
3. 开发语言golang、java、C/C++不限，至少精通掌握一种；
4. 具有IO处理、多线程、RPC等后台基础开发使用经验者优先；
5. 良好的学习能力、沟通能力、适应能力，责任心强，能在压力下独立解决问题；
6. 热爱互联网，喜欢挑战者优先；
7. 具备良好的学习能力、分析解决问题能力。
"
TEG05-高级安全运营工程师（深圳）,技术类,1,深圳,2017-07-06,http://hr.tencent.com/position_detail.php?id=31300&keywords=&tid=0&lid=0,"1. 负责网络安全产品的运营指标监控及分析，为运营提供决策依据，并推进运营指标和项目目标达成；
2. 结合大数据进行分析挖掘，对网络攻击安全风险隐患、现状、趋势做深入分析，形成有效结论并推进相关安全能力提升。
","1. 本科及以上学历，计算机相关专业，三年以上工作经验；
2. 较强的数据敏感性和数据分析能力，能够利用数据发现问题、分析问题并推进问题闭环解决；
3. 熟悉shell、Python脚本，基础扎实，熟悉常用的大数据分析和挖掘算法；
4. 具备良好的问题分析与解决能力，工作积极主动、有责任心，具备较强的团队合作意识；
5. 有网络安全相关行业从业经验者优先。
"
